Date,AAPL,MSFT,SPY
2020-05-04,71.1423,171.524,263.631
2020-05-05,72.2145,173.371,266.076
2020-05-06,72.9587,175.071,264.265
2020-05-07,73.7096,176.088,267.463
2020-05-08,75.4647,177.141,271.875
2020-05-11,76.6533,179.086,271.933
2020-05-12,75.776,175.041,266.506
2020-05-13,74.8635,172.404,261.795
2020-05-14,75.3207,173.145,264.945
2020-05-15,74.8782,175.657,266.162
2020-05-18,76.6413,177.356,274.267
2020-05-19,76.1988,176.116,271.454
2020-05-20,77.68,178.569,276.056
2020-05-21,77.1007,176.418,274.153
2020-05-22,77.5983,176.496,274.679
2020-05-26,77.0712,174.622,278.05
2020-05-27,77.4091,174.854,282.192
2020-05-28,77.4437,174.475,281.666
2020-05-29,77.3669,176.242,282.93
2020-06-01,78.3178,175.831,284.078
2020-06-02,78.6814,177.844,286.432
2020-06-03,79.1119,178.282,290.251
2020-06-04,78.4311,175.918,289.466
2020-06-05,80.6663,180.042,296.894
2020-06-08,81.1433,181.165,300.493
2020-06-09,83.7045,182.552,298.244
2020-06-10,85.8578,189.32,296.568
2020-06-11,81.7375,179.133,279.485
2020-06-12,82.4423,180.559,282.822
2020-06-15,83.4621,181.722,285.467
2020-06-16,85.6736,186.175,290.95
2020-06-17,85.5543,186.813,289.753
2020-06-18,85.5888,188.821,289.868
2020-06-19,85.099,187.679,288.212
2020-06-22,87.3263,192.906,290.068
2020-06-23,89.1908,194.195,291.391
2020-06-24,87.6142,190.276,283.962
2020-06-25,88.7767,192.681,287.004
2020-06-26,86.052,188.831,280.181
2020-06-29,88.0347,190.853,284.307
2020-06-30,88.7671,195.719,287.954
2020-07-01,88.5995,196.871,289.974
2020-07-02,88.5995,198.375,291.562
2020-07-06,90.9707,202.644,296.072
2020-07-07,90.6897,200.289,293.019
2020-07-08,92.7998,204.702,295.247
2020-07-09,93.1329,206.112,293.562
2020-07-10,93.3623,205.486,296.558
2020-07-13,92.9316,199.166,293.994
2020-07-14,94.47,200.386,297.82
2020-07-15,95.1214,200.086,300.559
2020-07-16,93.9496,196.108,299.544
2020-07-17,93.7605,195.132,300.435
2020-07-20,95.7354,203.524,302.855
2020-07-21,94.4141,200.758,303.507
2020-07-22,94.679,203.669,305.231
2020-07-23,90.3693,194.801,301.572
2020-07-24,90.1456,193.606,299.631
2020-07-27,92.2833,196.04,301.821
2020-07-28,90.7665,194.303,299.907
2020-07-29,92.509,196.247,303.612
2020-07-30,93.6276,196.089,302.52
2020-07-31,103.436,197.173,304.904
2020-08-03,106.029,208.259,307.02
2020-08-04,106.74,205.135,308.206
2020-08-05,107.124,204.811,310.121
2020-08-06,110.868,208.093,312.217
2020-08-07,108.337,204.363,312.437
2020-08-10,109.931,200.289,313.355
2020-08-11,106.662,195.601,310.761
2020-08-12,110.209,201.189,315.098
2020-08-13,112.139,200.729,314.551
2020-08-14,112.043,200.905,314.561
2020-08-17,111.756,202.233,315.537
2020-08-18,112.673,203.415,316.226
2020-08-19,112.82,202.166,314.904
2020-08-20,115.332,206.871,315.882
2020-08-21,121.265,205.368,317.012
2020-08-24,122.725,206.004,320.227
2020-08-25,121.709,208.688,321.347
2020-08-26,123.374,213.202,324.554
2020-08-27,121.886,218.445,325.271
2020-08-28,121.699,220.703,327.377
2020-08-31,125.829,217.421,326.189
2020-09-01,130.834,219.121,329.264
2020-09-02,128.115,223.342,334.01
2020-09-03,117.866,209.502,322.524
2020-09-04,117.944,206.551,319.892
2020-09-08,110.019,195.395,311.154
2020-09-09,114.405,203.716,317.299
2020-09-10,110.67,197.995,311.796
2020-09-11,109.213,196.696,311.957
2020-09-14,112.486,198.034,316.057
2020-09-15,112.653,201.267,317.663
2020-09-16,109.341,197.681,316.391
2020-09-17,107.597,195.621,313.605
2020-09-18,104.185,193.198,309.996
2020-09-21,107.34,195.279,306.56
2020-09-22,109.028,199.967,309.671
2020-09-23,104.444,193.395,302.493
2020-09-24,105.517,195.884,303.307
2020-09-25,109.489,200.357,308.196
2020-09-28,112.091,201.91,313.317
2020-09-29,111.243,199.811,311.622
2020-09-30,112.918,202.781,313.977
